,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
5,160997,apache/apr,C,8938,28,NonSQ,271,7792 days 16:52:58,0,NaT,NaT,7,2,0,NaT,NaT,9,NaT,NaT,0,apr
7,160999,apache/zookeeper,Java,2246,122,NonSQ,197,4807 days 04:04:54,260,87 days 20:46:44.746153846,10 days 05:16:44.500000,1428,338,63,252 days 13:07:12.253968252,8 days 18:24:12,1703,164 days 16:20:27.507814406,-2 days +13:07:27.500000,133,zookeeper
8,161001,apache/lucenenet,C#,5887,42,SQ,806,5495 days 16:21:27,87,43 days 11:30:30.333333333,1 days 00:07:10,73,95,116,14 days 19:47:42.594827586,0 days 14:45:24.500000,39,-29 days +08:17:12.261494253,-1 days +14:38:14.500000,145,lucenenet
10,161005,apache/jspwiki,Java,8829,14,SQ,411,7115 days 03:02:13,12,75 days 13:34:57.916666667,11 days 10:02:14.500000,153,19,44,54 days 13:57:45.454545455,7 days 04:39:51.500000,160,-21 days +00:22:47.537878788,-5 days +18:37:37,61,jspwiki
11,205402,apache/spamassassin,Perl,25284,6,NonSQ,2752,7194 days 19:26:49,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,spamassassin
13,205407,apache/directory-studio,Java,5642,11,NonSQ,100,5128 days 09:22:46,2,0 days 00:47:43.500000,0 days 00:47:43.500000,221,7,0,NaT,NaT,200,NaT,NaT,6,directory
16,205417,apache/maven-wagon,Java,1288,45,NonSQ,34,6084 days 04:46:01,10,147 days 04:33:05.100000,47 days 01:06:05.500000,20,11,3,0 days 10:12:24.666666666,0 days 00:33:37,21,-147 days +05:39:19.566666666,-48 days +23:27:31.500000,5,maven
18,205423,apache/httpd,C,32406,48,NonSQ,892,8935 days 08:29:48,26,42 days 19:46:03.500000,14 days 10:06:08.500000,23,35,6,231 days 21:20:15.833333332,264 days 04:04:01.500000,46,189 days 01:34:12.333333332,249 days 17:57:53,14,httpd
19,206317,apache/camel,Java,49473,696,SQ,12499,5036 days 00:40:39,1582,28 days 17:34:07.881163084,0 days 05:46:07,543,1590,1883,258 days 13:28:25.248539568,0 days 11:26:35,722,229 days 19:54:17.367376484,0 days 05:40:28,1599,camel
20,206318,apache/xmlgraphics-fop,Java,8366,8,NonSQ,102,7729 days 19:19:45,25,94 days 17:33:59.400000,0 days 00:15:00,536,44,31,177 days 15:02:30.483870968,0 days 02:51:40,567,82 days 21:28:31.083870968,0 days 02:36:40,33,xmlgraphics
21,206320,apache/maven-scm,Java,2108,56,NonSQ,89,6091 days 20:13:26,10,24 days 08:04:46.300000,0 days 10:41:37.500000,52,21,32,309 days 01:15:45.531250,3 days 13:16:21,38,284 days 17:10:59.231250,3 days 02:34:43.500000,26,maven
23,206339,apache/maven-release,Java,1012,36,NonSQ,106,5127 days 14:13:29,6,808 days 03:26:33.666666664,677 days 17:23:56,106,10,27,51 days 20:38:32.222222222,19 days 04:42:32,109,-757 days +17:11:58.555555558,-659 days +11:18:36,32,maven
24,206341,apache/maven-enforcer,Java,612,42,NonSQ,170,4869 days 00:31:17,42,616 days 18:35:41.071428568,236 days 05:16:04.500000,62,24,77,43 days 07:09:39.350649350,5 days 19:23:53,34,-574 days +12:33:58.279220782,-231 days +14:07:48.500000,74,maven
25,206346,apache/synapse,Java,4238,12,NonSQ,90,5558 days 17:26:36,6,12 days 22:32:00.500000,5 days 05:55:10,128,7,4,170 days 23:05:05,163 days 04:29:02,138,158 days 00:33:04.500000,157 days 22:33:52,7,synapse
26,206350,apache/cayenne,Java,6648,34,NonSQ,423,5064 days 03:44:32,34,96 days 01:20:57.205882353,7 days 14:04:20,473,45,111,311 days 18:07:49.549549548,5 days 19:14:46,479,215 days 16:46:52.343667195,-2 days +05:10:26,98,cayenne
28,206357,apache/pig,Java,3696,13,NonSQ,15,4734 days 19:36:43,3,431 days 06:52:46.666666664,41 days 20:21:25,1029,4,14,868 days 09:02:43.571428576,185 days 07:06:03.500000,1041,437 days 02:09:56.904761912,143 days 10:44:38.500000,6,pig
29,206362,apache/commons-collections,Java,3511,58,NonSQ,360,7201 days 01:31:43,43,47 days 19:32:53.790697674,1 days 04:59:21,22,38,56,12 days 09:47:42.892857142,0 days 10:58:20.500000,35,-36 days +14:14:49.102159468,-1 days +05:58:59.500000,55,commons
31,206364,apache/openjpa,Java,5110,14,NonSQ,147,5340 days 11:23:28,40,62 days 04:21:41.550000,1 days 03:03:23.500000,820,47,11,26 days 06:08:04.818181818,0 days 11:33:46,828,-36 days +01:46:23.268181818,-1 days +08:30:22.500000,15,openjpa
33,206368,apache/poi,Java,10578,14,NonSQ,1849,6908 days 21:10:37,22,3 days 14:37:58.272727272,0 days 22:27:41.500000,3,28,70,17 days 03:47:37.414285714,0 days 02:16:32.500000,9,13 days 13:09:39.141558442,-1 days +03:48:51,74,poi
34,206370,apache/nutch,Java,3176,45,NonSQ,164,5807 days 15:31:21,56,281 days 22:06:53.339285716,13 days 05:13:01,262,71,60,457 days 01:36:59.633333336,103 days 23:59:03.500000,313,175 days 03:30:06.294047620,90 days 18:46:02.500000,39,nutch
35,206371,apache/commons-codec,Java,2084,34,NonSQ,225,6459 days 11:41:20,21,27 days 12:48:11.857142857,6 days 00:31:23,14,20,32,12 days 04:12:37.406250,0 days 07:01:30.500000,9,-16 days +15:24:25.549107143,-6 days +06:30:07.500000,32,commons
37,206378,apache/commons-lang,Java,6169,152,NonSQ,911,6740 days 03:52:01,148,79 days 01:48:27.060810811,5 days 02:48:16,266,158,92,69 days 01:19:56.467391304,0 days 09:55:33.500000,323,-11 days +23:31:29.406580493,-5 days +07:07:17.500000,95,commons
