full_name,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end
apache/cordova-plugin-statusbar,13,63 days 23:07:41.384615385,1 days 05:31:25,30,17,34,117 days 10:03:45.852941176,2 days 23:38:16.500000,35,53 days 10:56:04.468325791,1 days 18:06:51.500000,27
apache/qpid-protonj2,0,NaT,NaT,0,0,1,21 days 02:42:02,21 days 02:42:02,1,NaT,NaT,2
apache/spamassassin,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/mnemonic,69,13 days 09:05:24.188405797,1 days 07:45:35,38,102,38,10 days 00:56:37,5 days 16:36:37,37,-4 days +15:51:12.811594203,4 days 08:51:02,45
apache/openwhisk-package-pushnotifications,0,NaT,NaT,3,0,0,NaT,NaT,3,NaT,NaT,0
apache/fineract-cn-portfolio,0,NaT,NaT,0,0,1,190 days 01:53:40,190 days 01:53:40,1,NaT,NaT,0
apache/activemq-openwire,0,NaT,NaT,3,0,0,NaT,NaT,4,NaT,NaT,0
apache/sling-org-apache-sling-auth-xing-oauth,0,NaT,NaT,0,0,0,NaT,NaT,2,NaT,NaT,0
apache/cassandra-diff,5,26 days 03:40:48.400000,7 days 06:12:25,1,5,5,239 days 00:28:56.200000,89 days 01:37:32,4,212 days 20:48:07.800000,81 days 19:25:07,6
apache/servicemix-website,0,NaT,NaT,0,1,0,NaT,NaT,1,NaT,NaT,0
apache/couchdb-setup,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/sling-org-apache-sling-launchpad-integration-tests,0,NaT,NaT,1,0,1,4 days 05:07:59,4 days 05:07:59,2,NaT,NaT,5
apache/arrow-testing,22,0 days 02:57:28.590909090,0 days 00:00:17,0,22,4,57 days 17:29:01,0 days 01:05:25.500000,2,57 days 14:31:32.409090910,0 days 01:05:08.500000,3
apache/couchdb-ken,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/lucene-site,15,4 days 19:39:41.400000,0 days 00:26:53,0,15,5,0 days 06:53:56.400000,0 days 01:01:35,1,-5 days +11:14:15,0 days 00:34:42,6
apache/maven-stage-plugin,5,50 days 23:41:21.800000,0 days 03:22:03,4,12,0,NaT,NaT,11,NaT,NaT,0
apache/cassandra-builds,4,0 days 16:18:49.250000,0 days 04:48:45.500000,0,6,7,10 days 12:01:39,0 days 06:06:52,4,9 days 19:42:49.750000,0 days 01:18:06.500000,9
apache/samza-hello-samza,3,0 days 14:50:49.333333333,0 days 00:05:09,12,3,0,NaT,NaT,14,NaT,NaT,2
apache/geode-site,0,NaT,NaT,1,0,0,NaT,NaT,0,NaT,NaT,1
apache/sling-org-apache-sling-discovery-support,1,28 days 20:10:39,28 days 20:10:39,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/commons-release-plugin,29,10 days 09:46:53.586206896,0 days 10:40:34,1,28,38,1 days 18:12:36.289473684,0 days 02:33:39.500000,1,-9 days +08:25:42.703266788,-1 days +15:53:05.500000,39
apache/dolphinscheduler-maven-plugin,18,0 days 01:11:54.111111111,0 days 00:06:24.500000,0,18,1,2 days 06:02:42,2 days 06:02:42,0,2 days 04:50:47.888888889,2 days 05:56:17.500000,4
apache/pulsar-connectors,1,0 days 15:07:28,0 days 15:07:28,0,2,0,NaT,NaT,2,NaT,NaT,0
apache/sling-org-apache-sling-resource-inventory,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/maven-2,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,1
apache/sling-org-apache-sling-event-api,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/flink-connector-jdbc,0,NaT,NaT,0,0,5,2 days 08:17:30.800000,2 days 11:04:27,0,NaT,NaT,14
apache/sling-org-apache-sling-starter,7,30 days 10:52:31,0 days 00:52:21,1,6,9,33 days 08:44:37.666666666,0 days 21:19:07,1,2 days 21:52:06.666666666,0 days 20:26:46,11
apache/sling-org-apache-sling-distribution-journal-messages,2,1 days 14:41:29,1 days 14:41:29,0,2,2,101 days 11:56:45.500000,101 days 11:56:45.500000,1,99 days 21:15:16.500000,99 days 21:15:16.500000,3
apache/cloudstack-primate,421,5 days 19:09:35.788598574,1 days 21:58:41,31,430,0,NaT,NaT,31,NaT,NaT,0
apache/sling-org-apache-sling-installer-core,1,0 days 02:22:46,0 days 02:22:46,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/causeway-antora,4,162 days 13:50:06,162 days 16:06:04,2,2,0,NaT,NaT,3,NaT,NaT,7
apache/ozone-docker-runner,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/myfaces-build-tools,3,0 days 15:05:01.333333333,0 days 00:00:41,0,3,4,0 days 14:09:09.250000,0 days 14:09:07.500000,0,-1 days +23:04:07.916666667,0 days 14:08:26.500000,4
apache/sling-org-apache-sling-tooling-support-install,0,NaT,NaT,0,0,3,51 days 15:41:26.666666666,3 days 18:29:50,1,NaT,NaT,2
apache/maven-javadoc-plugin,20,36 days 19:59:37.200000,2 days 08:48:06.500000,68,28,37,37 days 15:33:44.189189189,5 days 15:32:16,50,0 days 19:34:06.989189189,3 days 06:44:09.500000,47
apache/sling-org-apache-sling-commons-osgi,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/skywalking-satellite,11,2 days 10:33:36.636363636,0 days 03:23:55,0,11,8,0 days 03:03:14.625000,0 days 01:12:10,0,-3 days +16:29:37.988636364,-1 days +21:48:15,9
apache/sling-org-apache-sling-scripting-sightly,1,0 days 20:19:39,0 days 20:19:39,0,2,6,125 days 02:23:14.666666666,74 days 20:23:33.500000,1,124 days 06:03:35.666666666,74 days 00:03:54.500000,6
